state,gt,elevation,lst,ndvi,rh,soil_moisture,wind_speed
Andhra Pradesh,GridData/Andhra Pradesh/Andhra Pradesh_Y_Precipitation_GT_geotif.tif,GridData/Andhra Pradesh/Andhra Pradesh_X_Elevation_masked.tif,GridData/Andhra Pradesh/Andhra Pradesh_X_LST_masked.tif,GridData/Andhra Pradesh/Andhra Pradesh_X_NDVI_masked.tif,GridData/Andhra Pradesh/Andhra Pradesh_X_Relative_Humidity_masked.tif,GridData/Andhra Pradesh/Andhra Pradesh_X_Soil_Moisture_masked.tif,GridData/Andhra Pradesh/Andhra Pradesh_X_Wind_Speed_masked.tif
Arunachal Pradesh,GridData/Arunachal Pradesh/Arunachal Pradesh_Y_Precipitation_GT_geotif.tif,GridData/Arunachal Pradesh/Arunachal Pradesh_X_Elevation_masked.tif,GridData/Arunachal Pradesh/Arunachal Pradesh_X_LST_masked.tif,GridData/Arunachal Pradesh/Arunachal Pradesh_X_NDVI_masked.tif,GridData/Arunachal Pradesh/Arunachal Pradesh_X_Relative_Humidity_masked.tif,GridData/Arunachal Pradesh/Arunachal Pradesh_X_Soil_Moisture_masked.tif,GridData/Arunachal Pradesh/Arunachal Pradesh_X_Wind_Speed_masked.tif
Chhattisgarh,GridData/Chhattisgarh/Chhattisgarh_Y_Precipitation_GT_geotif.tif,GridData/Chhattisgarh/Chhattisgarh_X_Elevation_masked.tif,GridData/Chhattisgarh/Chhattisgarh_X_LST_masked.tif,GridData/Chhattisgarh/Chhattisgarh_X_NDVI_masked.tif,GridData/Chhattisgarh/Chhattisgarh_X_Relative_Humidity_masked.tif,GridData/Chhattisgarh/Chhattisgarh_X_Soil_Moisture_masked.tif,GridData/Chhattisgarh/Chhattisgarh_X_Wind_Speed_masked.tif
Goa,GridData/Goa/Goa_Y_Precipitation_GT_geotif.tif,GridData/Goa/Goa_X_Elevation_masked.tif,GridData/Goa/Goa_X_LST_masked.tif,GridData/Goa/Goa_X_NDVI_masked.tif,GridData/Goa/Goa_X_Relative_Humidity_masked.tif,GridData/Goa/Goa_X_Soil_Moisture_masked.tif,GridData/Goa/Goa_X_Wind_Speed_masked.tif
Gujarat,GridData/Gujarat/Gujarat_Y_Precipitation_GT_geotif.tif,GridData/Gujarat/Gujarat_X_Elevation_masked.tif,GridData/Gujarat/Gujarat_X_LST_masked.tif,GridData/Gujarat/Gujarat_X_NDVI_masked.tif,GridData/Gujarat/Gujarat_X_Relative_Humidity_masked.tif,GridData/Gujarat/Gujarat_X_Soil_Moisture_masked.tif,GridData/Gujarat/Gujarat_X_Wind_Speed_masked.tif
Haryana,GridData/Haryana/Haryana_Y_Precipitation_GT_geotif.tif,GridData/Haryana/Haryana_X_Elevation_masked.tif,GridData/Haryana/Haryana_X_LST_masked.tif,GridData/Haryana/Haryana_X_NDVI_masked.tif,GridData/Haryana/Haryana_X_Relative_Humidity_masked.tif,GridData/Haryana/Haryana_X_Soil_Moisture_masked.tif,GridData/Haryana/Haryana_X_Wind_Speed_masked.tif
Jharkhand,GridData/Jharkhand/Jharkhand_Y_Precipitation_GT_geotif.tif,GridData/Jharkhand/Jharkhand_X_Elevation_masked.tif,GridData/Jharkhand/Jharkhand_X_LST_masked.tif,GridData/Jharkhand/Jharkhand_X_NDVI_masked.tif,GridData/Jharkhand/Jharkhand_X_Relative_Humidity_masked.tif,GridData/Jharkhand/Jharkhand_X_Soil_Moisture_masked.tif,GridData/Jharkhand/Jharkhand_X_Wind_Speed_masked.tif
Madhya Pradesh,GridData/Madhya Pradesh/Madhya Pradesh_Y_Precipitation_GT_geotif.tif,GridData/Madhya Pradesh/Madhya Pradesh_X_Elevation_masked.tif,GridData/Madhya Pradesh/Madhya Pradesh_X_LST_masked.tif,GridData/Madhya Pradesh/Madhya Pradesh_X_NDVI_masked.tif,GridData/Madhya Pradesh/Madhya Pradesh_X_Relative_Humidity_masked.tif,GridData/Madhya Pradesh/Madhya Pradesh_X_Soil_Moisture_masked.tif,GridData/Madhya Pradesh/Madhya Pradesh_X_Wind_Speed_masked.tif
Maharashtra,GridData/Maharashtra/Maharashtra_Y_Precipitation_GT_geotif.tif,GridData/Maharashtra/Maharashtra_X_Elevation_masked.tif,GridData/Maharashtra/Maharashtra_X_LST_masked.tif,GridData/Maharashtra/Maharashtra_X_NDVI_masked.tif,GridData/Maharashtra/Maharashtra_X_Relative_Humidity_masked.tif,GridData/Maharashtra/Maharashtra_X_Soil_Moisture_masked.tif,GridData/Maharashtra/Maharashtra_X_Wind_Speed_masked.tif
Manipur,GridData/Manipur/Manipur_Y_Precipitation_GT_geotif.tif,GridData/Manipur/Manipur_X_Elevation_masked.tif,GridData/Manipur/Manipur_X_LST_masked.tif,GridData/Manipur/Manipur_X_NDVI_masked.tif,GridData/Manipur/Manipur_X_Relative_Humidity_masked.tif,GridData/Manipur/Manipur_X_Soil_Moisture_masked.tif,GridData/Manipur/Manipur_X_Wind_Speed_masked.tif
