state,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual LPA
Andhra Pradesh,7.3,10.2,9.2,20.8,60.1,94.3,136.9,152.6,154.1,161.0,97.2,23.6,927.3
Arunachal Pradesh,49.4,96.3,154.0,253.5,301.9,493.8,539.4,395.2,378.3,185.2,40.1,29.9,2917.0
Assam,16.2,32.3,73.8,192.1,313.7,481.4,542.2,405.8,318.1,152.1,28.4,13.2,2569.3
Bihar,10.7,11.8,8.3,19.5,56.2,167.1,348.0,281.1,223.9,63.3,7.1,6.5,1203.5
Chhattisgarh,12.1,10.7,7.4,11.0,18.6,196.4,380.1,378.3,200.3,59.6,11.8,5.5,1291.8
Goa,0.3,0.0,0.2,1.9,29.0,699.7,1029.6,722.1,326.3,110.8,22.5,3.8,2946.2
Haryana,15.5,17.2,12.7,9.2,18.8,51.8,165.2,166.6,71.9,11.2,4.7,7.7,552.5
Himachal Pradesh,82.6,97.0,112.5,64.2,67.5,97.1,260.1,236.6,114.5,27.1,21.4,40.4,1221.0
Jharkhand,14.5,19.9,16.9,22.3,50.2,201.8,332.3,308.6,241.9,74.1,12.7,8.0,1303.2
Karnataka,1.9,1.7,5.3,25.6,77.7,389.2,505.5,385.0,188.9,141.5,47.7,8.7,1778.7
Kerala,8.6,12.8,23.8,95.3,199.1,643.7,640.0,417.2,231.5,276.0,157.7,37.5,2743.2
Madhya Pradesh,12.1,12.5,6.0,2.8,7.1,127.2,312.1,355.2,166.6,34.8,12.2,9.1,1057.7
Maharashtra,4.4,3.6,3.8,4.7,18.9,293.5,434.5,351.7,194.6,83.8,20.6,6.5,1420.6
Manipur,10.1,34.5,83.3,175.2,320.3,402.9,406.3,367.9,289.7,155.4,49.1,13.4,2308.1
Meghalaya,16.2,32.3,73.8,192.1,313.7,481.4,542.2,405.8,318.1,152.1,28.4,13.2,2569.3
Mizoram,10.1,34.5,83.3,175.2,320.3,402.9,406.3,367.9,289.7,155.4,49.1,13.4,2308.1
Nagaland,10.1,34.5,83.3,175.2,320.3,402.9,406.3,367.9,289.7,155.4,49.1,13.4,2308.1
Punjab,21.9,29.9,23.9,14.7,18.8,53.6,185.0,171.6,77.2,9.8,6.4,12.8,625.6
Rajasthan,4.2,4.6,2.2,4.4,12.4,50.6,169.1,150.7,59.5,12.1,5.2,2.3,477.3
Sikkim,17.4,32.8,55.4,129.8,284.5,520.7,691.5,529.4,441.1,149.3,18.9,11.8,2882.6
Tamil Nadu,15.0,15.0,16.4,35.9,64.6,58.5,77.4,91.5,131.0,173.5,180.7,91.4,950.9
Tripura,10.1,34.5,83.3,175.2,320.3,402.9,406.3,367.9,289.7,155.4,49.1,13.4,2308.1
Uttar Pradesh,13.9,15.2,9.0,7.1,17.3,99.8,272.8,256.1,164.3,32.0,4.1,7.3,898.9
Uttarakhand,45.5,61.6,63.0,40.1,66.0,152.9,355.6,339.7,180.0,30.4,7.6,23.2,1365.6
West Bengal,14.4,28.9,44.7,90.6,201.7,390.4,523.4,433.4,359.9,131.0,23.2,11.3,2252.9
