region_name,state,patch_samples
Northwest-Himalayan Rainfall Regime,Himachal Pradesh,11904
Northwest-Himalayan Rainfall Regime,Rajasthan,72237
Northwest-Himalayan Rainfall Regime,Haryana,9456
Northwest-Himalayan Rainfall Regime,Punjab,11040
Northwest-Himalayan Rainfall Regime,Uttarakhand,11280
Central Indian Monsoon Core Regime,Bihar,19746
Central Indian Monsoon Core Regime,Chhattisgarh,27496
Central Indian Monsoon Core Regime,Jharkhand,16533
Central Indian Monsoon Core Regime,Madhya Pradesh,63035
Central Indian Monsoon Core Regime,Maharashtra,60816
Central Indian Monsoon Core Regime,Uttar Pradesh,50431
South Peninsular-Deccan Rainfall Regime,Karnataka,37074
South Peninsular-Deccan Rainfall Regime,Kerala,7149
South Peninsular-Deccan Rainfall Regime,Andhra Pradesh,31114
South Peninsular-Deccan Rainfall Regime,Goa,584
South Peninsular-Deccan Rainfall Regime,Tamil Nadu,24816
East-Northeast Humid Orographic Regime,Assam,16266
East-Northeast Humid Orographic Regime,Arunachal Pradesh,3024
East-Northeast Humid Orographic Regime,Manipur,4512
East-Northeast Humid Orographic Regime,Meghalaya,4752
East-Northeast Humid Orographic Regime,Mizoram,4272
East-Northeast Humid Orographic Regime,Nagaland,3501
East-Northeast Humid Orographic Regime,Sikkim,1536
East-Northeast Humid Orographic Regime,Tripura,2151
East-Northeast Humid Orographic Regime,West Bengal,17426
