state,normals
"Andhra Pradesh","10,5,15,20,50,150,200,180,150,100,30,10"
"Arunachal Pradesh","50,40,80,100,200,400,500,400,300,150,60,50"
"Chhattisgarh","20,15,25,30,80,200,350,300,200,100,40,20"
"Goa","10,5,10,20,100,300,800,600,200,150,50,15"
"Gujarat","5,3,5,5,10,50,250,200,50,20,10,5"
"Haryana","10,15,10,5,10,50,150,100,50,15,10,10"
"Jharkhand","20,15,20,25,70,200,350,300,200,80,30,20"
"Madhya Pradesh","15,10,15,20,60,150,300,250,150,70,25,15"
"Maharashtra","20,15,20,25,70,200,400,300,200,100,40,20"
"Manipur","30,25,50,80,150,300,400,300,200,100,50,30"
"Meghalaya","60,50,100,150,250,500,600,400,300,150,70,60"
"Mizoram","40,30,60,90,150,300,400,300,200,100,50,40"
"Nagaland","40,30,60,90,150,300,400,300,200,100,50,40"
"Odisha","30,20,40,60,120,250,400,300,200,120,50,30"
"Punjab","20,25,20,15,20,50,100,50,20,15,15,20"
"Sikkim","40,35,70,100,180,300,400,300,200,100,50,40"
"Tamil Nadu","20,15,25,40,80,100,150,100,100,150,80,30"
"Telangana","15,10,20,25,60,150,200,150,100,80,30,15"
"Tripura","40,30,60,90,150,400,500,400,300,150,60,40"
"Uttar Pradesh","15,10,15,10,20,100,250,200,100,50,20,15"
"Uttarakhand","30,25,40,50,100,200,300,250,150,70,30,25"
"West Bengal","25,20,30,40,90,250,400,300,200,120,50,25"
