run,model,best_val_acc,test_acc,test_weighted_f1,loss,num_train,num_val,num_test
conv3d_monsoon_to_next_annual_ce,conv3d,0.384175426199099,0.4018893744757869,0.3972527636658944,ce,90549,45284,45306
conv3d_monsoon_to_next_annual_ce_no_elevation,conv3d,0.3966301563466125,0.3958195382510043,0.38129337209192565,ce,90549,45284,45306
conv3d_monsoon_to_next_annual_ce_no_lst,conv3d,0.4533610105114389,0.41301372886593385,0.4010703405688841,ce,90549,45284,45306
conv3d_monsoon_to_next_annual_ce_no_ndvi,conv3d,0.4212746223831817,0.3488058976735973,0.3412355670172388,ce,90549,45284,45306
conv3d_monsoon_to_next_annual_ce_no_rh,conv3d,0.4498940022966169,0.41232949278241293,0.3792802474369588,ce,90549,45284,45306
conv3d_monsoon_to_next_annual_ce_no_soil,conv3d,0.43938256337779347,0.41199841080651567,0.4011577141948156,ce,90549,45284,45306
conv3d_monsoon_to_next_annual_ce_no_wind,conv3d,0.4028796042752407,0.3748068688473933,0.3674655509083065,ce,90549,45284,45306
conv3d_monsoon_to_next_annual_ce_ordinal,conv3d,0.4186688455083473,0.3980267514236525,0.38606357061927477,ce_ordinal,90549,45284,45306
conv3d_monsoon_to_next_annual_focal,conv3d,0.43046109000971644,0.3903677217145632,0.387128560725845,focal,90549,45284,45306
conv3d_monthly_ar_central_monsoon_core_full_bihar_transfer_ce,conv3d,0.32016600577995835,0.35122008604463567,0.3479963965572881,ce,119037,59516,59504
conv3d_monthly_ar_east_northeast_humid_orographic_full_assam_transfer_ce,conv3d,0.351221549384005,0.23579387186629527,0.2469716461839756,ce,28713,14367,14360
conv3d_monthly_ar_east_northeast_humid_orographic_transfer_ce,conv3d,0.42538110496164677,0.27372510927634774,0.2766537731879981,ce,20580,10299,10295
conv3d_monthly_ar_northwest_himalayan_ce,conv3d,0.3069703243616287,0.4057971014492754,0.38715190479684763,ce,57957,28980,28980
conv3d_monthly_ar_south_peninsular_deccan_transfer_ce,conv3d,0.3422275163787969,0.37371451260671035,0.3881592845061,ce,50367,25185,25185
conv3d_yearmonth_2yr_to_next_annual_cap1000_ce,conv3d,0.4599470772191484,0.4897762809718547,0.5034293223745703,ce,4166,4157,4157
convlstm_monsoon_to_next_annual_ce,convlstm,0.42061213673703735,0.3784046263188099,0.375454810026638,ce,90549,45284,45306
convlstm_monthly_ar_central_monsoon_core_full_bihar_transfer_ce,convlstm,0.32683648094630013,0.3571020435600968,0.34811561459244794,ce,119037,59516,59504
convlstm_monthly_ar_east_northeast_humid_orographic_full_assam_transfer_ce,convlstm,0.379480754506856,0.28628133704735376,0.28266764283442086,ce,28713,14367,14360
convlstm_monthly_ar_east_northeast_humid_orographic_transfer_ce,convlstm,0.41091368093989705,0.279456046624575,0.277594508932993,ce,20580,10299,10295
convlstm_monthly_ar_northwest_himalayan_tuned,convlstm,0.331608005521049,0.3933057280883368,0.3793559869074064,ce,57957,28980,28980
convlstm_monthly_ar_south_peninsular_deccan_transfer_ce,convlstm,0.3726424459003375,0.42930315664085766,0.43748927797621384,ce,50367,25185,25185
persistence_monthly_ar_central_monsoon_core,persistence,,0.30730707179349287,0.30854803557277716,none,119037,59516,59504
persistence_monthly_ar_east_northeast_humid_orographic,persistence,,0.2710053423992229,0.27406108348573144,none,20580,10299,10295
persistence_monthly_ar_northwest_himalayan,persistence,,0.35276052449965495,0.3520097279892074,none,57957,28980,28980
persistence_monthly_ar_south_peninsular_deccan,persistence,,0.3481040301766925,0.34953998722997504,none,50367,25185,25185
resnet_monsoon_to_next_annual_ce,resnet,0.3546506492359332,0.31424093938992625,0.3249165769360754,ce,90549,45284,45306
seasonal_climatology_monthly_ar_central_monsoon_core,seasonal_climatology,,0.3942928206507126,0.3768471314508785,none,119037,59516,59504
seasonal_climatology_monthly_ar_east_northeast_humid_orographic,seasonal_climatology,,0.34696454589606607,0.3228374992764617,none,20580,10299,10295
seasonal_climatology_monthly_ar_northwest_himalayan,seasonal_climatology,,0.3718426501035197,0.305703006058182,none,57957,28980,28980
seasonal_climatology_monthly_ar_south_peninsular_deccan,seasonal_climatology,,0.4220369267421084,0.3983087669398715,none,50367,25185,25185
swin3d_monsoon_to_next_annual_ce,swin3d,0.42509495627594734,0.4018452302123339,0.4040319362459385,ce,90549,45284,45306
swin3d_monthly_ar_central_monsoon_core_full_bihar_transfer_ce,swin3d,0.31107601317292827,0.34574146275880613,0.34835026506895306,ce,119037,59516,59504
swin3d_monthly_ar_east_northeast_humid_orographic_full_assam_transfer_ce,swin3d,0.3568594696178743,0.2692896935933148,0.2710368377538825,ce,28713,14367,14360
swin3d_monthly_ar_east_northeast_humid_orographic_transfer_ce,swin3d,0.38605689872803184,0.29528897523069453,0.300754057316787,ce,20580,10299,10295
swin3d_monthly_ar_northwest_himalayan_tuned,swin3d,0.3407867494824017,0.39561766735679776,0.3602005387033803,ce,57957,28980,28980
swin3d_monthly_ar_south_peninsular_deccan_transfer_ce,swin3d,0.34179074846138574,0.42926345046654757,0.4329052666113261,ce,50367,25185,25185
swin3d_yearmonth_2yr_to_next_annual_cap1000_ce,swin3d_yearmonth,0.4791917248015396,0.5157565552080827,0.5081185809537911,ce,4166,4157,4157
unet_monsoon_to_next_annual_ce,unet,0.39718222771839945,0.34675318942303446,0.34728422756573435,ce,90549,45284,45306
